hidden_size_1,hidden_size_2,init_lr,l2_reg,val_loss,val_accuracy,test_loss,test_accuracy
128,32,0.01,0.01,5601.603177160939,0.391,18393.752847245592,0.3966
128,32,0.01,0.001,4067.7939809721515,0.556,12802.19275959892,0.5623
128,32,0.01,0.0001,5492.6632753929625,0.337,17737.063979920335,0.3481
128,32,0.01,1e-05,6783.631554140926,0.284,22260.25960224007,0.2874
128,32,0.005,0.01,13706.062332741696,0.5843333333333334,45122.992816655584,0.5939
128,32,0.005,0.001,20913.0461645595,0.4,68776.01428253578,0.4025
128,32,0.005,0.0001,5135.9253338550125,0.6663333333333333,17016.318539332693,0.6557
128,32,0.005,1e-05,4423.801139297955,0.5973333333333334,14839.16865383875,0.583
128,32,0.001,0.01,15944.502909474118,0.6083333333333333,52266.9186845163,0.6082
128,32,0.001,0.001,19816.395478725884,0.522,66089.99831600966,0.517
128,32,0.001,0.0001,16815.823642082192,0.6096666666666667,55153.34246976508,0.6098
128,32,0.001,1e-05,14117.846018015965,0.6046666666666667,45471.340729484364,0.6102
128,32,0.0005,0.01,18802.602395509497,0.544,60559.45191059669,0.5555
128,32,0.0005,0.001,17001.637177179844,0.598,56043.52393959047,0.5975
128,32,0.0005,0.0001,15778.570330692444,0.5756666666666667,52940.47428398315,0.5653
128,32,0.0005,1e-05,17499.24205890935,0.591,58216.6787577676,0.5906
128,32,0.0001,0.01,29504.490823641896,0.35533333333333333,97140.29249398813,0.3641
128,32,0.0001,0.001,27826.884100788702,0.38133333333333336,90934.26760545731,0.3943
128,32,0.0001,0.0001,26436.35121317976,0.41733333333333333,88639.59328212994,0.4186
128,32,0.0001,1e-05,27519.49424394012,0.3953333333333333,92230.38651021496,0.3896
128,64,0.01,0.01,3674.9504996656606,0.6046666666666667,12187.275983418147,0.6012
128,64,0.01,0.001,16273.9642136086,0.517,52031.95460760629,0.5341
128,64,0.01,0.0001,16227.069856790604,0.5936666666666667,55021.133872107246,0.5864
128,64,0.01,1e-05,4850.710973751327,0.5456666666666666,15712.001955584237,0.5457
128,64,0.005,0.01,14843.164103821178,0.6186666666666667,49585.25012324492,0.619
128,64,0.005,0.001,12525.098792010012,0.6816666666666666,41026.58048911901,0.6769
128,64,0.005,0.0001,9585.871770786347,0.703,31119.691671969653,0.707
128,64,0.005,1e-05,8737.682353717171,0.6983333333333334,28241.87521303932,0.7052
128,64,0.001,0.01,13965.837448595285,0.688,48099.07391520696,0.6768
128,64,0.001,0.001,14093.54940763344,0.6856666666666666,46364.92808316349,0.6854
128,64,0.001,0.0001,14877.35014268423,0.6543333333333333,48057.21312483948,0.6659
128,64,0.001,1e-05,13816.171248810742,0.6863333333333334,46587.10424277488,0.6799
128,64,0.0005,0.01,16260.218320344316,0.6323333333333333,54282.55037345576,0.6333
128,64,0.0005,0.001,16911.32835877582,0.626,54752.84354275887,0.6335
128,64,0.0005,0.0001,16704.174186534176,0.6263333333333333,55979.83075745154,0.6286
128,64,0.0005,1e-05,18121.146696951022,0.5983333333333334,59350.127263807975,0.6075
128,64,0.0001,0.01,24247.484363818254,0.47833333333333333,81269.82646371021,0.4731
128,64,0.0001,0.001,23789.98780071169,0.486,77269.29283629118,0.5005
128,64,0.0001,0.0001,23249.211358998324,0.5016666666666667,81681.34685626435,0.4747
128,64,0.0001,1e-05,22750.47078407753,0.5153333333333333,77824.95530104733,0.5011
128,128,0.01,0.01,7924.091474299199,0.7366666666666667,26453.295830776562,0.7294
128,128,0.01,0.001,13452.08362623371,0.6846666666666666,43830.55130232672,0.6865
128,128,0.01,0.0001,8553.628613830826,0.7293333333333333,27010.26163895715,0.7293
128,128,0.01,1e-05,12047.294387801212,0.6933333333333334,39535.38151550402,0.6998
128,128,0.005,0.01,11008.06414558625,0.729,33996.72380572207,0.7387
128,128,0.005,0.001,10563.167846178401,0.751,34537.18412191013,0.75
128,128,0.005,0.0001,11079.24210781804,0.7366666666666667,36023.649650388455,0.7376
128,128,0.005,1e-05,11111.809177255176,0.7336666666666667,34466.31472617106,0.7524
128,128,0.001,0.01,13224.697664557461,0.713,44676.57973367599,0.7056
128,128,0.001,0.001,13883.934572549271,0.7,43940.4254605404,0.7099
128,128,0.001,0.0001,13694.5644213054,0.697,45582.983198039954,0.6988
128,128,0.001,1e-05,13803.883023547227,0.698,44960.20188106266,0.7058
128,128,0.0005,0.01,15498.480861708742,0.669,50625.93889989048,0.6728
128,128,0.0005,0.001,15274.823252376262,0.6683333333333333,50614.43579747471,0.6715
128,128,0.0005,0.0001,14775.908756874382,0.6833333333333333,49760.14658727985,0.6783
128,128,0.0005,1e-05,14781.47423706712,0.6816666666666666,47871.54978759229,0.6893
128,128,0.0001,0.01,23269.294916967563,0.5056666666666667,75836.67320705618,0.5171
128,128,0.0001,0.001,21986.95719894571,0.5316666666666666,73828.55406618085,0.5296
128,128,0.0001,0.0001,21885.0436663547,0.5346666666666666,72132.63855515691,0.5415
128,128,0.0001,1e-05,21599.93254548494,0.545,70679.71095401476,0.5508
512,32,0.01,0.01,6203.287186572851,0.2846666666666667,20098.27547191725,0.2969
512,32,0.01,0.001,5740.83274945377,0.31333333333333335,18709.163881804958,0.3272
512,32,0.01,0.0001,6584.498288910223,0.21433333333333332,21358.135727439127,0.2197
512,32,0.01,1e-05,6097.043499484802,0.307,19830.859755656984,0.3078
512,32,0.005,0.01,5681.961730688548,0.384,18200.540232987612,0.3946
512,32,0.005,0.001,6263.337784833936,0.32266666666666666,20551.38190182071,0.3243
512,32,0.005,0.0001,19963.930072654803,0.48533333333333334,64545.5264076757,0.4821
512,32,0.005,1e-05,12120.569661772432,0.173,39788.39838226523,0.1729
512,32,0.001,0.01,13029.775021534748,0.6586666666666666,42897.37978167126,0.6568
512,32,0.001,0.001,11318.87254857393,0.626,38871.66558268108,0.6115
512,32,0.001,0.0001,15000.053842644073,0.6313333333333333,50593.001776201105,0.6242
512,32,0.001,1e-05,23717.710784506784,0.4676666666666667,77287.5001656723,0.4791
